metric,"прогін `4e5be0de…` (БД, backtest)","прогін `b0638bf7…` (БД, backtest)","прогін `2c9344ad…` (БД, backtest)","обрана конфігурація, повне вікно (BTCUSDT, db:BTCUSDT, 64800 барів)","обрана конфігурація, повне вікно (ETHUSDT, db:ETHUSDT, 64800 барів)"
total_return,-0.12003634075724201,-0.1201274387928839,-0.11999116418149447,-0.1201274387928839,-0.11999116418149447
cagr,-0.6485349606905136,-0.6488323770319218,-0.6483873864779315,-0.6488323770319218,-0.6483873864779315
ann_vol,0.022664637040488,0.022555246573380244,0.021134733634056296,0.022555246573380244,0.021134733634056296
sharpe,-46.12414822580328,-46.38548890990067,-49.444711476138956,-46.38548890990067,-49.444711476138956
sortino,-48.854836711532734,-49.42749153397513,-52.2196552597263,-49.42749153397513,-52.2196552597263
max_drawdown,0.12003634075724201,0.1201274387928839,0.12009199841871632,0.1201274387928839,0.12009199841871632
calmar,-5.402821817120299,-5.401200454715407,-5.3990889902360095,-5.401200454715407,-5.3990889902360095
ulcer_index,0.11361468763544187,0.10847321142645752,0.10781966292218367,0.10847321142645752,0.10781966292218367
profit_factor,0.010086315865560582,0.01521025675588464,0.01631512109788394,0.01521025675588464,0.01631512109788394
expectancy,-3.9615954045294397,-3.8257146112383413,-2.745793230697815,-3.8257146112383413,-2.745793230697815
win_rate,0.026402640264026403,0.022292993630573247,0.09153318077803203,0.022292993630573247,0.09153318077803203
avg_win,1.52882578,2.6505573542857137,0.49753493631062506,2.6505573542857137,0.49753493631062506
avg_loss,4.110488182414984,3.9733820501916584,3.072576925106726,3.9733820501916584,3.072576925106726
n_trades,303.0,314.0,437.0,314.0,437.0
turnover,2906.2959572173218,2932.57155306787,2662.0005507202095,2932.57155306787,2662.0005507202095
exposure,0.014904010703506642,0.015432963066679113,0.021126979682006285,0.015432963066679113,0.021126979682006285
tail_ratio,0.0,0.0,0.0,0.0,0.0
psr,0.0,0.0,0.0,0.0,0.0
dsr,0.0,0.0,0.0,0.0,0.0
