variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,-69.60970719567928,-69.90723556493629,-0.2313834920088793,0.23153006546157395,8110.544569858503,2615.470369432,0.1679649161917,54.4375412627413,43.59526,733,1420,0.8719445598884289,0.0,0.05766203703703704,29.995833333333337,6,0,0.0,0.0,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,
no_ema_slope,без EmaSlope,oos,-105.66660105342838,-106.47050232690076,-0.3916873793913509,0.39199064399159544,14417.84125902191,4561.503619088,0.429604337603,126.20519950938309,-208.49134,1953,3908,1.5207124164205028,0.0,0.19212962962962962,29.995833333333337,6,0,0.0,0.3391898148148148,b123db17b9af970b9a9957c6171756f0ba38140823a9aca0faf037ad1c740650,
no_donchian,без Donchian,oos,-75.31468762998482,-75.21800551792043,-0.25411152561959915,0.2542537648870081,8986.250804841126,2892.756442148,0.42125142127500004,68.5149811418174,34.67009,881,1698,0.9643860898951521,0.0,0.06747685185185186,29.995833333333337,6,0,0.0,0.020717592592592593,c5bd08c54fe3230e80e086dce3433393c5209b63358f2bfaa24fac97fa9288ef,
no_rsi_exhaustion,без RsiExhaustion,oos,-76.21390233323204,-76.39978708560433,-0.2631180897670504,0.2632586115027771,9181.921985396868,2945.994022796,0.1598871795294,89.0851178183281,-27.482370000000003,917,1780,0.9821344151563273,0.0,0.06861111111111111,29.995833333333337,6,0,0.0,0.021041666666666667,a593e301fb0859c634c9160f5223475496281870999338ac9288d15569f9eaf3,
no_bollinger_z,без BollingerZ,oos,-119.94937354600337,-120.04073623048163,-0.3221054599642198,0.32244677023953483,11803.136332803953,3761.923866068,-0.779813836,80.4575804139602,-1.142109999999997,1216,2359,1.2541488093572994,0.0,0.030949074074074073,29.995833333333337,6,0,0.0,0.03974537037037037,1c31e4e15b66de7e332679f238cf1c55fed92b6a4b7bf3d059e9c4880bc00e8b,
no_candle_geometry,без CandleGeometry,oos,-74.00767544358776,-74.55654181952237,-0.25196280966519136,0.25210545868793743,8804.791349480209,2833.992246936,0.097159751675,78.979565752731,3.0781200000000006,854,1637,0.9447953038819834,0.0,0.06518518518518518,29.995833333333337,6,0,0.0,0.0061574074074074074,4cbd925dc55f442c4f6c4ee529bc565fb1f68d1b6768fb26d0d0901e3de6185d,
no_vol_regime,без VolRegime,oos,-26.004458936279686,-25.755686658867223,-0.026712470589086545,0.026843752480976812,777.4702674933254,255.154546552,0.0,2.9968673415548,-14.79028,62,124,0.08506332986870398,0.0,0.0036805555555555554,29.995833333333337,6,0,0.0,0.0,6bbc6993c47f4986ac25acef1c1f6b71c9143d21b028551988ffeba815a7d03b,V ≡ 0.5 (нейтральне значення: decision.aggregator.V_DEFAULT)
linear,LinearVoteEngine замість Мамдані,oos,-36.42897149324265,-36.29911184537127,-0.04673290610393244,0.04675607011101979,1420.842477375994,465.84037574800004,0.0,8.9197627864673,-10.589749999999999,124,248,0.1553016949291846,0.0,0.005486111111111111,29.995833333333337,6,0,0.0,0.0,a10018f68a5269ee1c548feeb66ec840a2146634b3ba236e27cf1de07446ffa6,u = 0.5·T + 0.5·R (config/engine.yaml linear.weights)
kappa_off,κ ≡ 1 (без гасіння узгодженістю),oos,-111.249617539844,-111.96750647939365,-0.420544223478856,0.42070883951354854,15857.663320358997,4977.114909756,0.7928035746741001,128.63467483326468,-238.18922999999998,2506,4686,1.6592687572460618,0.0,0.21430555555555555,29.995833333333337,6,0,0.0,0.6540972222222222,26e23b9fcdf490df18ecec3a915febfb47f28192bf79ba014096ed609161b2ab,agreement.kappa_min = 1.0
hysteresis_off,без гістерезису (u_exit = u_enter),oos,-93.01501555450437,-93.01803381165901,-0.23787419950942046,0.23801953519868058,8303.154259041847,2672.530618116,-0.048811126325,57.7222800168311,19.58021,786,1560,0.8909672848282261,0.0,0.024074074074074074,29.995833333333337,6,0,0.0,0.007638888888888889,3bb76e52afc359d4b3e264430701058414ee8511fd2bed32b90bf15bf789c286,
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",full,-49.444711476138956,-49.444711476138956,-0.1199911641814938,0.12009199841871543,2662.0005507202077,1167.009865552,0.265636262945,27.9394181369988,-32.63614,437,847,0.2614456502940212,0.0,0.021126979682006285,44.636805555555554,1,1,0.595740377734217,0.25066119045396557,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,
no_ema_slope,без EmaSlope,full,-47.35723046705054,-47.35723046705054,-0.12008874873756792,0.12008874873756792,2771.1727986831197,1203.38771266,0.0381647156622,31.2804511988117,2.53839,425,850,0.26959539278908473,0.0,0.026494290425962227,44.636805555555554,1,1,0.8493730358754161,0.11006876380721242,b123db17b9af970b9a9957c6171756f0ba38140823a9aca0faf037ad1c740650,
no_donchian,без Donchian,full,-48.16799938278276,-48.16799938278276,-0.12017179538329115,0.1202726089232099,2722.4438234989,1188.78088674,0.2185970929056,33.9228919683675,-12.71847,370,719,0.2663230201947197,0.0,0.017611002209153986,44.636805555555554,1,1,0.7312921995083854,0.1461464264600641,c5bd08c54fe3230e80e086dce3433393c5209b63358f2bfaa24fac97fa9288ef,
no_rsi_exhaustion,без RsiExhaustion,full,-48.60405592846434,-48.60405592846434,-0.12025653168397621,0.12035733551453764,2706.7570903139767,1181.416902496,0.219034343757,20.4723186042679,-20.92938,387,757,0.2646732640904585,0.0,0.017704346743831482,44.636805555555554,1,1,0.7353993590341952,0.1417747907526681,a593e301fb0859c634c9160f5223475496281870999338ac9288d15569f9eaf3,
no_bollinger_z,без BollingerZ,full,-63.386433145290525,-63.386433145290525,-0.12018302200230346,0.12018302200230346,2692.819312001469,1173.139201184,0.0968588390536,35.5738636202534,-28.59416,457,897,0.2628188076146927,0.0,0.007856498335355799,44.636805555555554,1,1,0.7623136998662061,0.19286536606615015,1c31e4e15b66de7e332679f238cf1c55fed92b6a4b7bf3d059e9c4880bc00e8b,
no_candle_geometry,без CandleGeometry,full,-49.150633081587706,-49.150633081587706,-0.12004624724362045,0.12014707516924805,2648.026012768465,1158.039377956,0.2209044801967,37.1656184225782,-42.20219,382,734,0.2594359886517168,0.0,0.0173931982949065,44.636805555555554,1,1,0.6852889013348269,0.17021375898441146,4cbd925dc55f442c4f6c4ee529bc565fb1f68d1b6768fb26d0d0901e3de6185d,
no_vol_regime,без VolRegime,full,-29.342153663196285,-29.342153663196285,-0.04370849480088301,0.04401891545155734,905.145953025374,429.838143264,0.473924744832,12.4056691093897,-6.77288,114,228,0.09629679765704062,0.0,0.004496095086965991,44.636805555555554,1,0,0.0,0.0,6bbc6993c47f4986ac25acef1c1f6b71c9143d21b028551988ffeba815a7d03b,V ≡ 0.5 (нейтральне значення: decision.aggregator.V_DEFAULT)
linear,LinearVoteEngine замість Мамдані,full,-40.174639720416394,-40.174639720416394,-0.06739563063764265,0.06772210588473881,1463.3261036131034,685.19206194,0.472394436416,14.0598403620704,11.70815,210,420,0.1535038301715388,0.0,0.006409658047854631,44.636805555555554,1,0,0.0,0.0,a10018f68a5269ee1c548feeb66ec840a2146634b3ba236e27cf1de07446ffa6,u = 0.5·T + 0.5·R (config/engine.yaml linear.weights)
kappa_off,κ ≡ 1 (без гасіння узгодженістю),full,-45.18305585129542,-45.18305585129542,-0.11968867708237041,0.12012327713458715,2703.67751262297,1173.086871712,-0.0434008882944,26.526199724533,-23.8433,408,775,0.2628070842237939,0.0,0.02210709729611998,44.636805555555554,1,1,0.8674196459130651,0.10201001898005538,26e23b9fcdf490df18ecec3a915febfb47f28192bf79ba014096ed609161b2ab,agreement.kappa_min = 1.0
hysteresis_off,без гістерезису (u_exit = u_enter),full,-58.63023593068677,-58.63023593068677,-0.12013862759099969,0.12013862759099969,2638.456936425557,1154.049466976,0.253288934,34.3704917985967,-47.08352,378,750,0.2585421274243415,0.0,0.007156414325274588,44.636805555555554,1,1,0.6834375680637232,0.169560347241669,3bb76e52afc359d4b3e264430701058414ee8511fd2bed32b90bf15bf789c286,
