variant,label,scope,segment,fold,sharpe,total_return,max_drawdown,turnover,n_trades,fees,funding,slippage_cost,psr,final_state,equity_hash,config_hash,dataset_hash
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_0,0,-58.718084814006616,-0.027036915214835977,0.027222457103669773,5120.569656865751,132.0,276.737689916,0.0974322323592,2.5011394076737,4.440892098500626e-16,WARNING,b1fe56f8d9ef0e0ec2168ed894e088a4095ad04d7d795070cf8d38399fe0a760,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_1,1,-68.88953798395232,-0.050950312153583255,0.05124552599404997,9926.85428124112,155.0,529.247678852,0.0705326838325,15.8769619918795,0.0,WARNING,f287a64932ee3e97f8b1c75941638f02e7bd2cebfbda196909e531180491bd65,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_2,2,-74.12553999413008,-0.04052883417999997,0.040977850536949134,7489.506603819155,97.0,399.4444818,0.0,9.9473647666667,0.0,WARNING,5fc54bb7c997ca60d5e6b9d51b96e5700240cfee6eeccd322717e66366c509b8,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_3,3,-78.40282452914253,-0.05448726443239993,0.05448726443239993,10276.302748245631,121.0,547.216634324,0.0,12.1700858379584,0.0,WARNING,1d4f1e7a8d97a68ef34e7ca1e5969d6c299153f00ce5289485db1fc447508448,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_4,4,-72.27752229198511,-0.047695758741600036,0.047695758741600036,9170.026020334188,121.0,491.775647416,0.0,1.844994941381,0.0,WARNING,b34816d41e4c887fbab6c293f93aa49671196dd8e62c9b168dff0cb9b08b111c,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_5,5,-67.02990377640108,-0.03650522271240009,0.03650522271240009,6902.295355905561,107.0,371.048237124,0.0,12.096994317182,0.0,WARNING,3f85e5442e70195515d0d6b8b805a8022b963135770d0ba5850b41b14e49379c,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",full,full,,-49.444711476138956,-0.11999116418149447,0.12009199841871632,2662.0005507202095,437.0,1167.009865552,0.265636262945,27.9394181369988,0.0,HALTED,ed0ef3b05e8df2d477c337a732124649d9fe7d85ce51ba8759a8d7e2740b2047,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,9a04aeae9ba15d8636a05342070d3617f4240aecb588fc89f23b970b6d91671f
no_ema_slope,без EmaSlope,oos,oos_0,0,-80.67304279717443,-0.05641120127520005,0.056869170480825515,10905.871834922338,303.0,577.267936852,0.0157259,15.0409764433292,0.0,WARNING,93abdd048bff6d93a4096bdebc3709115a3d1a5680bd6391de2a9e7b152db758,b123db17b9af970b9a9957c6171756f0ba38140823a9aca0faf037ad1c740650,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
no_ema_slope,без EmaSlope,oos,oos_1,1,-97.42809272156788,-0.08578391557967202,0.08635076029379707,15743.077185340753,379.0,822.789305224,-0.4395094272801,19.1627886961582,0.0,COOLDOWN,14e27ecee4ec587aaf26f0266043fe607e30c5ba652e0521be88f93a4fa687be,b123db17b9af970b9a9957c6171756f0ba38140823a9aca0faf037ad1c740650,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
no_ema_slope,без EmaSlope,oos,oos_2,2,-109.60275867250738,-0.08287082075182173,0.08287082075182173,15624.99732955967,275.0,814.3393309,-0.1306533817827,17.9034078023126,0.0,COOLDOWN,c3f3f54e1850440ad8b975aa86e51e28325d6137d57c7feae59a902f161d6ab3,b123db17b9af970b9a9957c6171756f0ba38140823a9aca0faf037ad1c740650,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
