variant,label,scope,sharpe,sharpe_fold_mean,total_return,max_drawdown,turnover,fees,funding,slippage_cost,gross_pnl,n_trades,n_fills,fees_per_day_pct,psr,exposure,days,n_segments,halted_segments,share_halted,share_cooldown,config_hash,note
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,-69.62125841479919,-70.0265187612314,-0.23059327591005774,0.2307400000551989,7977.2355007207225,2572.9061161,0.16801689311419998,48.0659352313106,10.87065,729,1412,0.857754504603417,0.0,0.06199074074074074,29.995833333333337,6,0,0.0,0.0,48e2a5d88b321d31c7b415370de5ed6505a2af4175883ddb245fbdcf9dfaa1c6,
no_ema_slope,без EmaSlope,oos,-112.16785857957973,-112.55844327177824,-0.41611939396447406,0.41634439491070996,16137.59190785298,5037.830379828,0.3915030909285,123.2871395388666,-108.09822,2512,5015,1.6795100585619114,0.0,0.21835648148148148,29.995833333333337,6,0,0.0,0.5339814814814815,0dc0f6e0ea1c427196adfedfa11af9bffd14cbad8611c976374cdee0fbab080e,
no_donchian,без Donchian,oos,-74.32372984612321,-74.32701598896263,-0.2536707143925002,0.25382044162580686,8940.873221210515,2870.966548952,0.383247722643,53.6464419864604,17.184019999999997,887,1704,0.9571217832316709,0.0,0.07625,29.995833333333337,6,0,0.0,0.02,879b250e67c36819cb88de21aa96962b1af87ce0fc6bdebd5cff2fc53df0b601,
no_rsi_exhaustion,без RsiExhaustion,oos,-82.14199078859575,-82.37407200733257,-0.29504005265600497,0.2955879067684869,10425.25671744649,3263.540898408,-0.2158360674741,105.598750429103,-129.28904,1200,2318,1.0879980769800248,0.0,0.09277777777777778,29.995833333333337,6,0,0.0,0.08120370370370371,bc7a523cd6fb615bf2b78db345e9d9de2ec969eb5045de406a399fbbaf66584b,
no_bollinger_z,без BollingerZ,oos,-122.22071704908626,-122.0725223970346,-0.3291277559900856,0.32951586132626254,11977.237514344188,3852.8286480799998,-0.780798044,111.2730106403628,-6.823859999999996,1313,2540,1.2844546125006249,0.0,0.034074074074074076,29.995833333333337,6,0,0.0,0.11425925925925925,6461cb838c00576b4974f826b38113c89f334f38dbc3f33641e8d794da69da4e,
no_candle_geometry,без CandleGeometry,oos,-73.15656730363855,-73.61738573422734,-0.2502291991851938,0.2503721788035894,8590.643154776175,2766.424666816,0.0971929293592,77.6308384412485,-41.87922,845,1620,0.9222696486120848,0.0,0.0712037037037037,29.995833333333337,6,0,0.0,0.007222222222222222,2dd623088374e80cff2aa5a896ffe35df3ee5fafe1f90c2cd0664cd5aafbc310,
no_vol_regime,без VolRegime,oos,-21.46529525319766,-21.948890512317202,-0.021578827213823537,0.021723046043613525,692.1728904748903,227.285638668,0.0,3.0841645307845003,9.611089999999999,56,112,0.07577240350093067,2.1649348980190553e-15,0.003148148148148148,29.995833333333337,6,0,0.0,0.0,a7ee7534234bb64e60fb29c6123c000647964b25f9b992eb37e317fb07bcf1eb,V ≡ 0.5 (нейтральне значення: decision.aggregator.V_DEFAULT)
linear,LinearVoteEngine замість Мамдані,oos,-34.795553097935304,-34.44980385622005,-0.04899922297487669,0.04899922297487669,1470.05796500544,481.427819468,0.0,10.7391939057651,-18.45883,124,248,0.1604982312436727,0.0,0.005185185185185185,29.995833333333337,6,0,0.0,0.0,52c93408be3a2e9c2e811deaa62bb3db69297ee560d6cb6ad684baa5c39db33f,u = 0.5·T + 0.5·R (config/engine.yaml linear.weights)
kappa_off,κ ≡ 1 (без гасіння узгодженістю),oos,-112.91995923623516,-113.45291185155541,-0.43333270621249875,0.4334941841885941,16458.434468102725,5126.290771492,0.6771067100522999,146.81305649380312,-293.29841,2716,5054,1.7090009517406304,0.0,0.2232638888888889,29.995833333333337,6,0,0.0,0.7099768518518519,f67049c022c769278f20a94c3367cbe2e4ed77fae4c1ed14ddda869343a916a9,agreement.kappa_min = 1.0
hysteresis_off,без гістерезису (u_exit = u_enter),oos,-94.57942161053772,-94.5357568718648,-0.23516106019344163,0.23530691327231423,8147.448954651997,2624.010698864,-0.048811126325,66.7763858060122,4.987900000000001,785,1558,0.8747917318063063,0.0,0.024606481481481483,29.995833333333337,6,0,0.0,0.006805555555555555,1cc819f104e5e3fe600cdd3a41320c9f5fcbabac51f2877b3327f05ae9d6fb9a,
