variant,label,scope,segment,fold,sharpe,total_return,max_drawdown,turnover,n_trades,fees,funding,slippage_cost,psr,final_state,equity_hash,config_hash,dataset_hash
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_0,0,-58.63635890062557,-0.027521945519635826,0.027707394914272987,5093.282936818738,130.0,275.225792964,0.0974322323592,3.3678529900428,1.3322676295501878e-15,WARNING,faa187c1c941673d83839806727023c14982776200571e80dea4589356801e0b,aa4fed5caeaddcde10b9b605c581b7a4194ba57a174172463ef91c13b017c132,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_1,1,-68.3478519366937,-0.05075596900767543,0.05104270636213648,9539.296634260845,154.0,508.883905416,0.070584660755,9.5373781146417,0.0,WARNING,48f8eae9ca9c5e70f2e186d146e7c994b263cce5e8e27ace7c95665dd6626053,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_2,2,-75.51106855272121,-0.04063424174079988,0.041083208768784574,7382.414035325986,96.0,393.411517408,0.0,9.3467305453906,0.0,WARNING,32c1fea5c45026f60bfeed9f1008a17d4965507d2b2d3498ed05b075304947db,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_3,3,-78.40282452914253,-0.05448726443239993,0.05448726443239993,10276.302748245631,121.0,547.216634324,0.0,12.1700858379584,0.0,WARNING,1d4f1e7a8d97a68ef34e7ca1e5969d6c299153f00ce5289485db1fc447508448,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_4,4,-72.27752229198511,-0.047695758741600036,0.047695758741600036,9170.026020334188,121.0,491.775647416,0.0,1.844994941381,0.0,WARNING,b34816d41e4c887fbab6c293f93aa49671196dd8e62c9b168dff0cb9b08b111c,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
baseline,"базова (6 детекторів, Мамдані, κ, гістерезис)",oos,oos_5,5,-66.98348635622033,-0.03512516885719996,0.03512516885719996,6626.674849801188,107.0,356.392618572,0.0,11.7988928018961,1.1102230246251565e-16,WARNING,811b56cde42d54e78fdf6b085c2f40c3766792102dd714c7a09fbc9e790ac1e3,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
no_ema_slope,без EmaSlope,oos,oos_0,0,-88.05966697675763,-0.0700782990690999,0.07049568410914642,14246.011537377168,436.0,749.91396826,0.177612431,21.6597297297369,0.0,WARNING,87332e057a4057d03169f6b9b967ca26a79d53321c6d2bb8c2e6b7791fc26308,8c09a1aca14cf05393dd6a8660b52af279031330f91634039ad03c7aad28905c,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
no_ema_slope,без EmaSlope,oos,oos_1,1,-110.3249945983783,-0.09009470839269673,0.09133137782402201,18069.99807284156,574.0,940.717777,-0.0700330730332,17.4142849490234,0.0,COOLDOWN,d36b06037dce8219167bb3fe7cd5d115d952911d28a0a58f66ae3f4187cc8548,27fa013c03a91136a1be469df6d272830c78e6adb334ea06d274a7899ad870f0,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
no_ema_slope,без EmaSlope,oos,oos_2,2,-114.18765815136221,-0.08484237139252104,0.08484237139252104,16079.870908896537,393.0,836.995686372,-0.3846424467886,18.8944994075476,0.0,COOLDOWN,f4b6b22f3ce5e7711779e89c6bd9a43811f9d90cc40ba4e8717f9219042db46a,1b282bd3d5a25b31711e5f64610bed1f886251cc183d496ae7ea724f3bae83a0,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
no_ema_slope,без EmaSlope,oos,oos_3,3,-121.2237547223407,-0.09722178052209607,0.09739377052209597,17936.14833462634,412.0,929.243347964,-0.08125274304,16.232551692561,0.0,COOLDOWN,285ad8de12d56da7a98e2c8bff91ddffe854ff5ccfded9ae42ba05e6215136ee,f2fe676fd57403277dd2f37dc0f49ee56c61ac97f6ce36a2b845439afd106142,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
