variant,label,scope,segment,fold,sharpe,total_return,max_drawdown,turnover,n_trades,fees,funding,slippage_cost,psr,final_state,equity_hash,config_hash,dataset_hash
zero,zero (без витрат),oos,oos_0,0,3.6924039024394437,0.001319040000000049,0.0021892288283290595,5723.763222384728,114.0,0.0,0.0,0.0,0.6675722983328447,WARNING,1b3b3fdd96493960239e117c976f84345935e6c101041e3284a0cba4c21e81d1,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,139be94e0960832544f99e28578924629ff06f38b33fac117e1b9abacc9b961b
zero,zero (без витрат),oos,oos_1,1,0.3616647025359158,0.00021508999999997336,0.005357702624580796,12767.780837475866,138.0,0.0,0.0,0.0,0.5168792032107271,NORMAL,3a4dc8fa50783d715e28f255d85eb4562b0114fc8003b587f58697d7c520bb65,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,e6cc52cb0e4211a6f90495341bce37644f8e82b3b7467f07fa5a71eea0f6d6fd
zero,zero (без витрат),oos,oos_2,2,7.6612591928752,0.0037352900000000577,0.003100033493072085,12349.332513710338,111.0,0.0,0.0,0.0,0.8163551520201036,NORMAL,3f6d702a32ed2da2c11c1c814248d6e47a0500cad4ec995b2b3c1ecd756fd841,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,720bbb9902f595f917dc7e5f2bbf9814e95d487192c6528c5d36ea4b4beb8c49
zero,zero (без витрат),oos,oos_3,3,11.913131413704004,0.005471730000000008,0.002666006682341182,13836.931427711383,117.0,0.0,0.0,0.0,0.9194822521699842,NORMAL,4419e578e337eaea4f9504275635856a30c41fa1fbdaf916081eedfbdd561660,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,b021b06d910a0cb5b098ca3b4742b738b26f82ac7296c95b35fa20630434b85c
zero,zero (без витрат),oos,oos_4,4,5.187838956360457,0.0023403799999999197,0.0045265632735727035,11722.19327405662,107.0,0.0,0.0,0.0,0.7294977007345445,NORMAL,63102013f7e5b1c85f9328c721c08db45800f6dfb444d2f46f2acfc3268c1874,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,f4fba3b9838e1244eccfc4cdaeb4884fcb7ff1d3ea1e0374856fbeb2559327d1
zero,zero (без витрат),oos,oos_5,5,4.0594663828025395,0.0012406999999998725,0.0018774980549552955,6003.449340516431,86.0,0.0,0.0,0.0,0.6838623675815949,NORMAL,dc6c9d403cf5b5812ed48b688ce9d848a52ed4d86e302d0d8daf987e785240e1,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,2483bf4579fc96375347a8d80b5f8270ecab9a241bda1b23a2328bbff878cb92
zero,zero (без витрат),full,full,,7.346850510819266,0.031877429999999984,0.007064650538971096,11983.792173056529,981.0,0.0,0.0,0.0,0.9952171675393884,NORMAL,bf8e35c5875f6bd167f73277a6dd1734edae7c7889ac783edb329bc897401023,913564a422fe0208b6ef3cf4de5220297144b9c02ae755a51b89337e81f835b3,99382675fda6dcab9be0fa566ac6c602686bf19685aa9c5557f5b7cdf3b8c345
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_0,0,2.0879658428096715,0.0007466099999999809,0.002597487279934141,5724.087268558985,114.0,0.0,0.0,5.724099293902,0.5966456928965482,WARNING,6bc968f5f669717d761b631c73a3f64c2b5f673f3291d73592ade2657c6c8483,544078aeb01c1a6ad5e2e3915ae300d7a95357746c3da6c5d19b35cda2a92ae7,139be94e0960832544f99e28578924629ff06f38b33fac117e1b9abacc9b961b
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_1,1,-0.9691853863517753,-0.0006346900000000488,0.00543116362394358,12768.012758615803,138.0,0.0,0.0,8.498063769014,0.4548478972029275,NORMAL,5ec1b48ae12e654b8e15b2b34c85aa07081bceebd45646b1bf1d8014240f5b47,544078aeb01c1a6ad5e2e3915ae300d7a95357746c3da6c5d19b35cda2a92ae7,e6cc52cb0e4211a6f90495341bce37644f8e82b3b7467f07fa5a71eea0f6d6fd
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_2,2,3.130464771202958,0.0015399099999999777,0.0036712394808718907,12349.070519591221,111.0,0.0,0.0,21.940210501832,0.6432643277809749,NORMAL,88c0e43539f462439766a3557d75527d7ce0ed099ea2e048f3d686d7176cb940,544078aeb01c1a6ad5e2e3915ae300d7a95357746c3da6c5d19b35cda2a92ae7,720bbb9902f595f917dc7e5f2bbf9814e95d487192c6528c5d36ea4b4beb8c49
