variant,label,scope,segment,fold,sharpe,total_return,max_drawdown,turnover,n_trades,fees,funding,slippage_cost,psr,final_state,equity_hash,config_hash,dataset_hash
zero,zero (без витрат),oos,oos_0,0,2.4264560089703675,0.0008823399999999815,0.0028031347038066645,5113.645003626337,132.0,0.0,0.0,0.0,0.6118960126374975,WARNING,dee24cb6823e3995f30e68604ab71d4c52c047b239bb61207e110abb02dc66a0,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
zero,zero (без витрат),oos,oos_1,1,6.535865873528438,0.00465818699999998,0.003783041764582773,12399.823028895711,155.0,0.0,0.0,0.0,0.7784161975359054,NORMAL,4e51ad367b9dde6a0fc0180e06b1fc6eed5e8dc0ad7a76ee6a433e78d6efb82f,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
zero,zero (без витрат),oos,oos_2,2,-1.2156010841233285,-0.0006339789999999512,0.004341055213926248,10040.950404469058,97.0,0.0,0.0,0.0,0.44345353572078317,NORMAL,1e1588bb8c4a3da44a192b82778dbb3d4d3741525dee0d8043fc6f21f803ab26,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
zero,zero (без витрат),oos,oos_3,3,3.2517371560667563,0.0018416310000000102,0.004119887585364634,12752.015785428539,121.0,0.0,0.0,0.0,0.6483303704807777,NORMAL,2566b5dc1df1fa206509d858652ea0a002018e06f703d811a9bb413f271c7f2b,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
zero,zero (без витрат),oos,oos_4,4,5.216009920016089,0.0030111290000001123,0.005166293311695491,12178.984399736497,121.0,0.0,0.0,0.0,0.7306926002906187,NORMAL,e03ec09e27e628a07c554651ae3584b2bbf8c94d0748de09d4c0f1f54f7143af,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
zero,zero (без витрат),oos,oos_5,5,2.666698971833355,0.0011869070000001258,0.00404450434283421,8147.710322716855,107.0,0.0,0.0,0.0,0.6231811936871804,NORMAL,ad73a706b31c44c0012234cafdadc613ce1789800a99a1cc6b67d05c0806a4b4,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
zero,zero (без витрат),full,full,,2.877401500470901,0.01407121900000008,0.008084396815764339,11822.916614524645,1084.0,0.0,0.0,0.0,0.8434074308556921,NORMAL,e145801db853a41d2b3debfc239788e70141ceb8cc63a51929a221205a528e71,4b178e7f2de85e7d2c5a5100e22e3dd015cc0feda02123c67949e4b966547054,9a04aeae9ba15d8636a05342070d3617f4240aecb588fc89f23b970b6d91671f
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_0,0,1.7192390103019406,0.0006290520000000743,0.002979028847119314,5113.827299798586,132.0,0.0,0.0,2.5372116196729,0.5797867794229329,WARNING,1b78f805b9c0329024d467c5b17fda1de3bf60d988a6756759fde43cecd1b278,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_1,1,3.3850095016019424,0.0024294709999999053,0.003937984303565956,12398.307864930059,155.0,0.0,0.0,22.261016661623,0.6541638645086123,NORMAL,9047cce8745bf21acc8b4565f7ef751e7c4a85268ffdea099aeed929ad813ddf,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_2,2,-4.257589214726433,-0.0022207249999999235,0.004953615913707354,10042.036005560101,97.0,0.0,0.0,15.8983562105589,0.3092509599333736,NORMAL,5e2f92b7c55f8d87ad1bdf559ce6656c69e883675a340dca91461bdbe63ad0bb,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_3,3,-0.11715173173950251,-7.955700000006338e-05,0.004164925981496648,12751.227482550767,121.0,0.0,0.0,19.2176358410948,0.4945306957049298,NORMAL,d5fecf7c5c72537baf06e3ab8404a3b051ec94c918e82ba70005f84f26e9acfc,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_4,4,4.049124752312135,0.0023723149999999027,0.005659676013673232,12177.403325400699,121.0,0.0,0.0,6.370794060047,0.683094630321652,NORMAL,f6594923b0f227097ac063b6cb38c6e3791705949bf5d20b351821bf3d671785,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_5,5,-0.35984771758439854,-0.00016972100000001156,0.004305460584876575,8147.348043480325,107.0,0.0,0.0,13.5586998632744,0.4832176481465159,NORMAL,68fcdc2dbeea4e87a3ec071c9dcc09375872900a74b8fb3066d677d16647098f,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
sqrt_impact,sqrt_impact (спред + √-імпакт),full,full,,-0.7037180616323736,-0.003563762999999942,0.009717726660844583,11828.368091232831,1084.0,0.0,0.0,174.8975619787807,0.40285108470067754,NORMAL,e65c20e82fb8f746ae14cdfe3fd486d71bdc616aba7df6707f22077e3798d126,2850acdf86c8f4b187815d5bf7c2347ae485f361e62bed6a41efad43867335ee,9a04aeae9ba15d8636a05342070d3617f4240aecb588fc89f23b970b6d91671f
full,full (√-імпакт + комісії + фандинг),oos,oos_0,0,-58.718084814006616,-0.027036915214835977,0.027222457103669773,5120.569656865751,132.0,276.737689916,0.0974322323592,2.5011394076737,4.440892098500626e-16,WARNING,b1fe56f8d9ef0e0ec2168ed894e088a4095ad04d7d795070cf8d38399fe0a760,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
full,full (√-імпакт + комісії + фандинг),oos,oos_1,1,-68.88953798395232,-0.050950312153583255,0.05124552599404997,9926.85428124112,155.0,529.247678852,0.0705326838325,15.8769619918795,0.0,WARNING,f287a64932ee3e97f8b1c75941638f02e7bd2cebfbda196909e531180491bd65,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
full,full (√-імпакт + комісії + фандинг),oos,oos_2,2,-74.12553999413008,-0.04052883417999997,0.040977850536949134,7489.506603819155,97.0,399.4444818,0.0,9.9473647666667,0.0,WARNING,5fc54bb7c997ca60d5e6b9d51b96e5700240cfee6eeccd322717e66366c509b8,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
full,full (√-імпакт + комісії + фандинг),oos,oos_3,3,-78.40282452914253,-0.05448726443239993,0.05448726443239993,10276.302748245631,121.0,547.216634324,0.0,12.1700858379584,0.0,WARNING,1d4f1e7a8d97a68ef34e7ca1e5969d6c299153f00ce5289485db1fc447508448,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
full,full (√-імпакт + комісії + фандинг),oos,oos_4,4,-72.27752229198511,-0.047695758741600036,0.047695758741600036,9170.026020334188,121.0,491.775647416,0.0,1.844994941381,0.0,WARNING,b34816d41e4c887fbab6c293f93aa49671196dd8e62c9b168dff0cb9b08b111c,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
full,full (√-імпакт + комісії + фандинг),oos,oos_5,5,-67.02990377640108,-0.03650522271240009,0.03650522271240009,6902.295355905561,107.0,371.048237124,0.0,12.096994317182,0.0,WARNING,3f85e5442e70195515d0d6b8b805a8022b963135770d0ba5850b41b14e49379c,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
full,full (√-імпакт + комісії + фандинг),full,full,,-49.444711476138956,-0.11999116418149447,0.12009199841871632,2662.0005507202095,437.0,1167.009865552,0.265636262945,27.9394181369988,0.0,HALTED,ed0ef3b05e8df2d477c337a732124649d9fe7d85ce51ba8759a8d7e2740b2047,c1fd0694560996a42cf4e4b31a2227f884b96fdd06bee8ab9ee08807b3fbbf91,9a04aeae9ba15d8636a05342070d3617f4240aecb588fc89f23b970b6d91671f
