variant,label,scope,segment,fold,sharpe,total_return,max_drawdown,turnover,n_trades,fees,funding,slippage_cost,psr,final_state,equity_hash,config_hash,dataset_hash
zero,zero (без витрат),oos,oos_0,0,3.181932895840064,0.002019615999999891,0.005269681058143516,19628.390072725328,462.0,0.0,0.0,0.0,0.645337058632822,WARNING,6f9fa1aa3ba0d01487cdf10d6afb3f3c1959ee1e6920248a7d68e6427561d073,512bd10cc2c357c1a7a1c3f158c180c509627a33829fc4248cc5af52515d99f3,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
zero,zero (без витрат),oos,oos_1,1,-1.7575841049800578,-0.0020661990000000463,0.009645940415631715,38748.43854489045,482.0,0.0,0.0,0.0,0.4185482181639259,NORMAL,0c1d6e9fe8f50c6b3ae7a34680889555e22001e36be77811c55f9479241a3be9,936dbb9a66481984532b26572dafe7e91a8384aab630835e101bc472521ca5e3,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
zero,zero (без витрат),oos,oos_2,2,-3.348997855231532,-0.0024842839999998922,0.009099198576985934,26456.426636562723,259.0,0.0,0.0,0.0,0.3477055943331803,NORMAL,73e1833237f406b9911636bfdc22286bf20632ed281334442e7b7dab7e4d361d,e800dc665482a8828190b0b8b0f34cefb2e838c3f756f8ac0dac6e7eeb705de7,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
zero,zero (без витрат),oos,oos_3,3,0.5968021142236682,0.00033389599999988917,0.004019512156192451,12894.617323367002,122.0,0.0,0.0,0.0,0.5278397498348985,NORMAL,a015be74436139c14d2f1026c0ce2bc5dc373907232a37e509259ef6f505ef2a,9518a7a8c9995022b80e1283f558e6e794cd2fd0fd6d93b4193ddfcd203d25d3,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
zero,zero (без витрат),oos,oos_4,4,6.102835637399007,0.003671690999999866,0.004696686389073501,12749.215327814283,127.0,0.0,0.0,0.0,0.7638591433461592,NORMAL,3f67cbb6a4be2cf7bd09d2fec4fed821f99e0ae850decb333b2f97830cd60bd5,af36d401ad559efd290c9f8c07eefbb7fade18850dc5d05aa79faf1d7844d346,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
zero,zero (без витрат),oos,oos_5,5,1.6407012519436832,0.0007742889999999836,0.004069841002276697,8313.096038869635,110.0,0.0,0.0,0.0,0.5763938353733243,NORMAL,ad6544ba5b0b63ec39f89d0d1751d5cf47d6f8314a945229425f01b284167ef7,af36d401ad559efd290c9f8c07eefbb7fade18850dc5d05aa79faf1d7844d346,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_0,0,-1.8790611429160131,-0.0012317400000000367,0.0060885100786181034,19631.790215418747,462.0,0.0,0.0,32.4833813137372,0.4130025857750094,WARNING,f564fc16a1053fd73d67e7faf850d9aa062e6bb0bec21668adb060d395558fa0,6d96486cde44a0259a0d43937dcb517a9178afef156830dcde9f122dcbb24651,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_1,1,6.436202245838685,0.004882438999999961,0.0033232586904863304,14619.678459538332,165.0,0.0,0.0,14.964353607385,0.7752434614530089,NORMAL,41e1ee4450b4241b715208afc93c636708473519ed7527edacfc1182fb127a8b,7b1d673d39d720ec8e7b66a04514cd6577284ae7d98bf7a8281918fd4ca4b97a,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_2,2,-9.310651627763091,-0.006927949000000044,0.0100930774340664,26466.701922148863,259.0,0.0,0.0,44.5891846710328,0.13819267713470484,NORMAL,26e78e3f6be7a82ca0289c3c1d5c589d7c8548a80fd7446183c82a3c9730a542,b7e9977ef14b9febd7d332740cfdc8469ec1d288ed82062c7b99e31cbd840e07,eae784919729b5def9de5e898cee4cfeb9422796f8053d5d10afb3e0ee82def1
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_3,3,-1.6069402494938174,-0.00102068700000002,0.004522700000000102,13739.540921354343,122.0,0.0,0.0,7.3818217430265,0.4253950951250885,NORMAL,c7531cdd1e59062e25f8d0e04ce2814a784a97b53c253bac8ee0604c35c66ef9,5379a1e2cbd6d58391f92b659f82e69020fec358f67b71b04d8d135038eaa97a,a09c0f4a98ac4f9a3585611b16c4a2ae24acdb095fbe3a74a7111f764527c7c3
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_4,4,2.902331637140386,0.0017579480000000647,0.005253407432325163,12746.025122739768,127.0,0.0,0.0,19.0884112662666,0.6333315551386477,NORMAL,06683c98cad1001f7e2f701d9fa3485879ea8256d39f8edd66248b06fb6f1507,c95f2a99610a0a95c00c2cd376e9fd179ba601e3e443e49fd1dbdcd23d36dff3,28c8513ece080e1290b86da3ef1a1a90784d9139b03d5b85de9e413526e9c6fb
sqrt_impact,sqrt_impact (спред + √-імпакт),oos,oos_5,5,-0.5969212782328107,-0.00029366100000005613,0.00436584776555049,8313.19882584946,110.0,0.0,0.0,10.6859348042659,0.47218856919746743,NORMAL,21a743d8880509c1401c3f3e5d2fc52f0d2305661bcb24fdfb62ecd0463eeb3d,c95f2a99610a0a95c00c2cd376e9fd179ba601e3e443e49fd1dbdcd23d36dff3,2beecfcd8e35936c744cafd56d1020a54d96cf5391cb791eff59bbcb31a804c0
full,full (√-імпакт + комісії + фандинг),oos,oos_0,0,-58.63635890062557,-0.027521945519635826,0.027707394914272987,5093.282936818738,130.0,275.225792964,0.0974322323592,3.3678529900428,1.3322676295501878e-15,WARNING,faa187c1c941673d83839806727023c14982776200571e80dea4589356801e0b,aa4fed5caeaddcde10b9b605c581b7a4194ba57a174172463ef91c13b017c132,1a48881aae9d52e7e2897b4c2ddb0285d5b2ca73e842b8b11ffbc0deb093a16b
full,full (√-імпакт + комісії + фандинг),oos,oos_1,1,-68.3478519366937,-0.05075596900767543,0.05104270636213648,9539.296634260845,154.0,508.883905416,0.070584660755,9.5373781146417,0.0,WARNING,48f8eae9ca9c5e70f2e186d146e7c994b263cce5e8e27ace7c95665dd6626053,bdfa3fef3871f8bbd188a2ee0326489e224a49b5e4e06ca096633f92842938ee,ba5b339e2398c2dd8890c8e76214a838f1a7aff60b27e121e3402328194215f2
