cell,n_atr,chi,u_enter,rho_base,lam,config_hash,equity_hash,wall_s,full_sharpe,full_max_drawdown,full_turnover,full_total_return,full_n_trades,full_psr,full_sr_period,full_halted,pareto_full,oos_sharpe,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_sortino,oos_calmar,oos_sr_period,pareto_oos,feasible_oos,selected,run_id,persist_status,read_back_ok,run_metrics
0,7,1.5,0.2,0.0025,0.94,72b3d34e95fce65a57448957cb3572eb35cee8e1eb7385b34dcb958ad4252bec,feb1d39744a178c006a858a59195fc53845b5bde003205c73f7e83d2cb82ea39,6.517450042010751,-51.63913371542027,0.1202294704039999,2937.731388353469,-0.1202294704039999,321.0,0.0,-0.07122808524201149,1.0,0,-129.305357030465,0.42750833658151166,16988.17892513029,-0.42750833658151166,2021.0,0.0,-135.1761320456067,-2.3364962775784366,-0.17835645817707405,0,0,0,6c4dbea4-9ce5-4e3d-a12a-0772a58c449b,written,True,47
1,7,1.5,0.2,0.0025,0.97,eb454935e1b506eef16ad440093d2421e01f24d73c427302f9337c927c28aff5,069f1ffd5f7c46f89cafc33e3df42e1661994ce09d833169e388cac2a94b0e65,6.478177666023839,-54.04612907322635,0.12019889785600013,2968.000886676254,-0.12019889785600013,348.0,0.0,-0.07454815779527628,1.0,0,-131.93277635266926,0.42247135859879303,16766.31508709247,-0.42247135859879303,2128.0,0.0,-138.074846519841,-2.364053081305698,-0.18198057101521387,0,0,0,67979adf-3f49-411e-8917-ac0298351199,written,True,47
2,7,1.5,0.2,0.005,0.94,1def34ff26054ac4752187da0e46cdc2afdf57396ed1eff3c2e892a60c74ccd1,8c4be7eebdbc540511020e5d68ce494f881cd1141925b33577e14033a6408b5c,6.656727791996673,-51.44251973648392,0.12006059891200005,2932.950816137606,-0.12006059891200005,318.0,0.0,-0.07095688709742938,1.0,0,-128.60782973888692,0.4292814829170082,17060.938469202378,-0.4292814829170082,2004.0,0.0,-134.5404654351804,-2.326942752295885,-0.17739432868712257,0,0,0,34eba64d-8907-4307-8845-bc6e027a0ab8,written,True,47
3,7,1.5,0.2,0.005,0.97,458b014130294e5623212ead139d8d80c6a66cfef9f3e61a650941b2dcc47795,f3477e1dd1ac1e09d3e6581e66b604ad91b0436080dfe338a52a2758fb54cd1f,6.472582667018287,-54.10533375118541,0.12005611632000002,3008.9104847921976,-0.12005611632000002,352.0,0.0,-0.07462982136212916,1.0,0,-131.90303447562215,0.4228703618736438,16825.251106639706,-0.4228703618736438,2117.0,0.0,-138.04026040928542,-2.3618473165836416,-0.18193954676091006,0,0,0,ceb16ce6-80cb-4f71-b44a-43a0a2c8c59f,written,True,47
4,7,1.5,0.25,0.0025,0.94,f288422dc55c3d715227d7f0117b7966e2b96c28ff4790ff95ed641fec691644,d06dd3cc4262b7b75a7eb5e987b89a584d3b250fef1896cfbbb64406f882770a,6.459004499949515,-48.93150217494823,0.12024118493199998,2846.0587637221433,-0.12024118493199998,300.0,0.0,-0.06749333223024455,1.0,0,-109.53478896762783,0.3874545076501523,15175.46551211877,-0.3874545076501523,1413.0,0.0,-116.69464063781281,-2.574316801045032,-0.15108606059404414,0,0,0,245c3db4-6eab-4d1f-ab93-a705d8f74e91,written,True,47
5,7,1.5,0.25,0.0025,0.97,f71da9a9d7fa163154074cee3f056eac3544b61f868a7c68e46a8e05a8c7ca6c,27d09cc0d6ec5e1c164b8539a3fb6a25f6829d3b563429eb8b8c2c737204286b,6.209794624999631,-50.68167083649028,0.120172440529,2883.4533415088217,-0.120172440529,338.0,0.0,-0.06990741538081043,1.0,0,-111.71252698377465,0.3812218733650776,14806.352419024715,-0.3812218733650776,1420.0,0.0,-118.62198200496542,-2.615521004237216,-0.15408990860403804,0,0,0,d10ae82d-7394-4cef-af37-0cf2bc4d207e,written,True,47
6,7,1.5,0.25,0.005,0.94,9ec2bef369ff8f0c64ae2237b5206afc76df7ce5b199d25ead7236d5101c316d,8f9912b5f2da3a47f02745a355726876fd655a926a1fa559e52b24e3fe8b4641,6.3276816249708645,-48.83815627229013,0.12009099547200008,2841.499817272947,-0.12009099547200008,299.0,0.0,-0.06736457619904997,1.0,1,-109.57389555747184,0.38791471017099255,15186.827343480465,-0.38791471017099255,1412.0,0.0,-116.7371443902276,-2.57132305973458,-0.15114000200077424,0,0,0,bba8a269-8726-44b6-ac49-624adc1114f2,written,True,47
7,7,1.5,0.25,0.005,0.97,b0c8362d68075c5ddcd890975bae458352d7c0f9f6d5fca222e054af0e3e09aa,981b241d3056e19da129821867ca3f66c9e922be9a0010a5802e6dee389c59e9,6.5898899169988,-50.681252864606265,0.12018134844100004,2883.599040420296,-0.12018134844100004,338.0,0.0,-0.06990683885415629,1.0,0,-111.74347597487503,0.3814631122895893,14814.743368403559,-0.3814631122895893,1420.0,0.0,-118.64706159893916,-2.613903001059848,-0.15413259788283967,0,0,0,ed2641ac-d1a0-496f-993d-af0caaef66d7,written,True,47
8,7,1.5,0.3,0.0025,0.94,012001dfe07538487f22ce44f37af6eb3748a0ce9d15119d46fea983014d556b,8e32bea6daf8f560e45f7d5681506530528d647c93fa29f2729e18ae8829fb64,6.058348082995508,-48.2824775104686,0.12013936051653196,2837.4677767842736,-0.12013936051653196,290.0,0.0,-0.06659810450662536,1.0,1,-78.64645012222935,0.25137596856059863,9209.994726361358,-0.25137596856059863,685.0,0.0,-83.92311744998992,-3.860703718997176,-0.10848044206471573,0,0,0,b910fa08-7104-4a78-b832-03013856cbd2,written,True,47
9,7,1.5,0.3,0.0025,0.97,16fc272bdf5bc0bbc3f17ec831f90edfa28932d8e3ecfeeda402d2e211e69ea9,46e4edcda353f0cdd20e84284d249dfbd3ef0169f6d66e025a32987769d81c42,5.663271208992228,-49.5998070750058,0.12007829320827046,2834.541777330281,-0.12007829320827046,314.0,0.0,-0.06841515401469365,1.0,1,-79.22943315828722,0.2434624114597178,8811.030391438753,-0.2434624114597178,686.0,0.0,-84.12907859301424,-3.9696466227926126,-0.10928457572071035,0,0,0,76c3c3ed-8b42-4764-8bdd-ad52dac664fe,written,True,47
