cell,n_atr,chi,u_enter,rho_base,lam,config_hash,equity_hash,wall_s,full_sharpe,full_max_drawdown,full_turnover,full_total_return,full_n_trades,full_psr,full_sr_period,full_halted,pareto_full,oos_sharpe,oos_max_drawdown,oos_turnover,oos_total_return,oos_n_trades,oos_psr,oos_sortino,oos_calmar,oos_sr_period,pareto_oos,feasible_oos,selected,run_id,persist_status,read_back_ok,run_metrics
0,7,1.5,0.2,0.0025,0.94,72b3d34e95fce65a57448957cb3572eb35cee8e1eb7385b34dcb958ad4252bec,29f528636b2fcdf47ecf8176a5d820f65711f0c708f5f42507d8ec6055bd1f2d,7.3092775419936515,-47.24428016922172,0.12015863354931144,2830.9174952721023,-0.11963881846220725,378.0,0.0,-0.06516607411804662,1.0,0,-117.35588224424954,0.4011643181052015,15264.574894921638,-0.4011643181052015,2207.0,0.0,-125.23777019722802,-2.487881426397739,-0.161874032012445,0,0,0,c1cbe769-4da6-40c7-9424-27fc43516b5b,written,True,47
1,7,1.5,0.2,0.0025,0.97,eb454935e1b506eef16ad440093d2421e01f24d73c427302f9337c927c28aff5,ef48e61b2057b356598cb6186b2143e58f59a561c74d1ecb41335039f3c09562,6.770337708003353,-49.67689962643119,0.12017261301117599,2850.33673049462,-0.11970736122366488,417.0,0.0,-0.06852149109723871,1.0,0,-120.08714395749848,0.4056364741730196,15368.482358547672,-0.4056364741730196,2230.0,0.0,-128.04659867659026,-2.4608716996834348,-0.16564137914111002,0,0,0,5b4e4bde-3cd1-4865-8402-7a6ecc83d666,written,True,47
2,7,1.5,0.2,0.005,0.94,1def34ff26054ac4752187da0e46cdc2afdf57396ed1eff3c2e892a60c74ccd1,d4db2484feb557e19b4b795e60adf273730ec366e9978364075c37ffbdb70469,7.26777887501521,-47.40664272938398,0.12005187202356604,2843.647797897543,-0.11953199386116908,373.0,0.0,-0.0653900278028447,1.0,0,-116.46151335723418,0.4046209909019626,15408.98310530897,-0.4046209909019626,2182.0,0.0,-124.58045046255852,-2.466955414239657,-0.16064039041665057,0,0,0,dda9561c-57ca-4e85-a9a2-336cc807e1d3,written,True,47
3,7,1.5,0.2,0.005,0.97,458b014130294e5623212ead139d8d80c6a66cfef9f3e61a650941b2dcc47795,818bc18b0fbebf486819d6276852530cf1fe4fa453de2cb298db31c7f9b74257,7.123784041963518,-49.592221902629774,0.1200959363333216,2847.2568111640835,-0.11963064399926482,414.0,0.0,-0.06840469145915289,1.0,0,-119.84983326049621,0.40820999342649045,15463.647107605473,-0.40820999342649045,2219.0,0.0,-127.88985441157463,-2.445581734305832,-0.165314046257331,0,0,0,e11bc5ad-5aa2-43e9-a298-203769e48d98,written,True,47
4,7,1.5,0.25,0.0025,0.94,f288422dc55c3d715227d7f0117b7966e2b96c28ff4790ff95ed641fec691644,b1f5a20e4e364fe9acc075b62bd4518302231a7d76abca5f3575c46afed83de8,7.048846833000425,-47.653703216367,0.12014109283322849,2747.978806870668,-0.1196212673829734,358.0,0.0,-0.06573080899262489,1.0,0,-103.03378553688417,0.3738705029246895,14124.339532405465,-0.3737773243858883,1490.0,0.0,-112.0100191801311,-2.6657320312923605,-0.14211894605886471,0,0,0,3ead5f5a-98fe-4e5c-8663-dd5efc8a8fa6,written,True,47
5,7,1.5,0.25,0.0025,0.97,f71da9a9d7fa163154074cee3f056eac3544b61f868a7c68e46a8e05a8c7ca6c,82cb9a60d7f957ea4a79803ffc44086f0487ffeb229024068087032ad307e17a,6.972447582986206,-50.47397519037672,0.12015001426633443,2742.6101105472494,-0.11968475052863103,414.0,0.0,-0.06962093181454267,1.0,0,-105.15821474380519,0.3687105866798749,13736.26711856182,-0.368621286728372,1505.0,0.0,-113.8259921704477,-2.7020810072630232,-0.14504926292814255,0,0,0,780de47e-6cbd-4ed1-91a9-7861f5f2d14c,written,True,47
6,7,1.5,0.25,0.005,0.94,9ec2bef369ff8f0c64ae2237b5206afc76df7ce5b199d25ead7236d5101c316d,abbad421f2dad8b423ef9ce7ab68f66ef6b8e691b728c4c88a992abd5cf63e00,7.066260499996133,-47.65650674185263,0.12017441246141025,2749.5299296247554,-0.11965460669657346,358.0,0.0,-0.0657346760162928,1.0,0,-102.74565506403607,0.37433195514590634,14167.649506293179,-0.3742388452789117,1491.0,0.0,-111.83325683000285,-2.662526089289585,-0.1417215152655066,0,0,0,ca1b520c-2d3f-4801-8241-c0aed764c871,written,True,47
7,7,1.5,0.25,0.005,0.97,b0c8362d68075c5ddcd890975bae458352d7c0f9f6d5fca222e054af0e3e09aa,c6fc4a8a3dbb49040db44df81d8aba500867e7fd78f86c2fdb1b551c226fceb4,7.286245250026695,-50.47650088892333,0.12016030222887075,2742.9905599961467,-0.11969504393143104,414.0,0.0,-0.06962441561952602,1.0,0,-105.16055692303983,0.36886239716382707,13768.123228424789,-0.36877311868689444,1506.0,0.0,-113.87475796576392,-2.700998352851884,-0.14505249359702047,0,0,0,df228fbb-7f07-4fd5-a683-7d151968f4dc,written,True,47
8,7,1.5,0.3,0.0025,0.94,012001dfe07538487f22ce44f37af6eb3748a0ce9d15119d46fea983014d556b,d3200746d77cb35c7c1ea1b5b91e0564e1d7c35daa4c4bd94f8b7e6f4d8057cb,7.253594707988668,-48.453783708003414,0.12010382925363272,2689.0551046738083,-0.11996602631714304,352.0,0.0,-0.06683439453634851,1.0,0,-74.8203825491082,0.2496746292373383,8643.34743336566,-0.24956296827582847,748.0,0.0,-81.73697494951558,-3.88348065185534,-0.10320298197520633,0,0,0,e2f57a11-247d-45a9-9f82-5583e1de3d4a,written,True,47
9,7,1.5,0.3,0.0025,0.97,16fc272bdf5bc0bbc3f17ec831f90edfa28932d8e3ecfeeda402d2e211e69ea9,b3ac74d7e7c7151b9005fbfb9aa727e53c40aa558092a604dd83c505f2f97965,7.269740167015698,-50.88076260958806,0.1200343349411851,2698.893107105297,-0.11990355204631364,439.0,0.0,-0.07018203125379044,1.0,0,-74.77887302978887,0.23369088710542918,8018.23255083626,-0.23358248774821866,751.0,0.0,-81.66777721363063,-4.11108623206403,-0.10314572610417011,0,0,0,69975a79-b5af-4400-b81c-894570190284,written,True,47
