param,value,is_base,config_hash,sharpe,max_drawdown,turnover,total_return,n_trades,psr
base,,1,48e2a5d88b321d31c7b415370de5ed6505a2af4175883ddb245fbdcf9dfaa1c6,-46.12414822580328,0.12003634075724201,2906.2959572173218,-0.12003634075724201,303.0,0.0
u_enter,0.2,0,852c7162e0c2a9dfb99f1233bf3e4a1a7944d23bfecb0414c3c4d0a2f867ca48,-49.43269051255658,0.12036666561200005,2967.0069106131996,-0.12036666561200005,324.0,0.0
u_enter,0.225,0,965b8701f4094eb70a15f011e43c990631d7fad73adb2ec79ae7956e6302c30d,-49.55983004395399,0.12023565634000011,2972.6428292206015,-0.12023565634000011,329.0,0.0
u_enter,0.275,0,e2ccc81ceefd8632cd7de4581195340e5f91c7ec289a1c17fee6c43868311e43,-49.52126849247201,0.12009042721991259,2919.0519521974284,-0.12009042721991259,348.0,0.0
u_enter,0.3,0,e063275466558f7756c2905107e3e2052c5afe0b74ef13cd4ddf38a700aff568,-46.907261711324246,0.12017699084743727,2966.999945709613,-0.12017699084743727,300.0,0.0
u_exit,0.09,0,14218e93640689f8ac71b6aab40e56b32b676bbfa3d5f152a9b0b7400e1b92ee,-44.838346935801596,0.120089249953242,2917.2812233165,-0.120089249953242,304.0,0.0
u_exit,0.105,0,928b48330f16dfe1d2560d390d14189cafc13f8dc475fd7b6d5f76069578ab76,-45.69689627208082,0.12020312972524205,2945.478573217551,-0.12020312972524205,310.0,0.0
u_exit,0.135,0,2ebf4bf03892867f8299e3f7bd8912c9493157e75d85dddb26d1c09c488b85e0,-46.824371180580385,0.12017619072899999,2896.2827508678984,-0.12017619072899999,302.0,0.0
u_exit,0.15,0,ccc40859a872ed436268c4c434015fadd33591f5968cf04d4c5e253b2f306df7,-48.60561753954025,0.12009280766499997,2909.431896216811,-0.12009280766499997,302.0,0.0
chi,1.5,0,9b422134be3f388ff4274629ccd7ad5d42f177c4cbb6cdd908240f9265dc1eae,-48.78224302179232,0.12023364248800006,2852.769140471008,-0.12023364248800006,298.0,0.0
chi,1.75,0,8f821d5345a8d7310efc59d843c182b2295efbc9fcf61b50acfa4dd3e0573754,-47.414807633207616,0.12013149393599998,2894.141823948603,-0.12013149393599998,300.0,0.0
chi,2.25,0,51f615d7d1c035f29aa392277ed8d1a42b6bab5d1df0bc12cc74d993f8f7b531,-45.85169561956679,0.12014169148924192,2920.283880919165,-0.12014169148924192,305.0,0.0
chi,2.5,0,32f98f51f2a03ee778b59644a00f37152dd0fd851e479d74f41e790bbbc87cb9,-45.19214335652337,0.12019465989324196,2922.855200647694,-0.12019465989324196,306.0,0.0
rho_base,0.0025,0,1f469a7176b02b1a50249f162c7f2780ac9eb1a97ac4d8a2236ec98513a851f2,-46.218696237366416,0.12013451520124196,2906.0556204228865,-0.12013451520124196,304.0,0.0
rho_base,0.00375,0,3c090cdf53b2c81e1f1fa1f25a5e912450de2e391aa121f59b0a8a8eab02caa8,-46.12414822580328,0.12003634075724201,2906.2959572173218,-0.12003634075724201,303.0,0.0
rho_base,0.00625,0,50f83747ff5ab83d5cf2ae494c227c6b5578d3b1cc4c4d0ae8492a04d6d3fac8,-46.12414822580328,0.12003634075724201,2906.2959572173218,-0.12003634075724201,303.0,0.0
rho_base,0.0075,0,ecb80f65609045742d782216c5dd0cabe8fc41c86706829b3118488cf37a51cc,-46.12414822580328,0.12003634075724201,2906.2959572173218,-0.12003634075724201,303.0,0.0
lam,0.88,0,e692616c9f981ab98726da01cfb9d16c05365a52022671aae250c136fe7478de,-45.821421884267686,0.12007384616391259,2879.885610889743,-0.12007384616391259,280.0,0.0
lam,0.92,0,8d51142e40e8a568e4b599df353da1a488d0971da042e8c850afb89bed0a451b,-46.00889253260144,0.12017376206924202,2929.9524091421713,-0.12017376206924202,297.0,0.0
lam,0.952,0,727a2baa9d993505e07962fd60726b5d1e5d3508311668cc27882a8f1e549e67,-46.59995731038991,0.12014361125357131,2920.5704341706037,-0.12014361125357131,314.0,0.0
lam,0.96,0,16633d2c5af6bf178afcae29d1a5968ff881f36b2e07273628c4598c243a278a,-47.012292655982314,0.12015715400957128,2913.4082313155614,-0.12015715400957128,319.0,0.0
sigma_target,0.1,0,8f1583d61bc5142fc7b430e533419c0d1b04eb5f77eef40d1ae38e31d428594f,-59.723885038971424,0.120205701376079,2914.9796468366944,-0.120205701376079,544.0,0.0
sigma_target,0.15,0,5a18e723cf6dbbdf262ced67532a3d2cae4386aa4cc8bc07e108f4612f7ef028,-51.19534142752069,0.12004099091318143,2957.469542009749,-0.12004099091318143,409.0,0.0
sigma_target,0.25,0,1161fff9b07b2613f773636378340a5ee123504256b01459ad1b5e977bf51e3a,-44.68895656253311,0.12048549601163172,2926.4871791562696,-0.12048549601163172,262.0,0.0
sigma_target,0.3,0,2fd3acfe790fde272af70efcc5e66d66d9220c9364169513fa34a5d38251ba9b,-43.65255804491618,0.12000967898800008,2910.8068212056046,-0.12000967898800008,243.0,0.0
kappa_min,0.21,0,5c5e552d8171af8d207436a8bbfe411372485084a3ca06b73f913bf3420ccea3,-48.904437693717696,0.12014451181227037,2794.549158559388,-0.12014451181227037,288.0,0.0
kappa_min,0.28,0,7e52583fe8d3fa093f406faf63492bcfcce60790277c0fac717e53a6f982f6fe,-49.595717800562134,0.12000151005999993,2863.7973312646795,-0.12000151005999993,310.0,0.0
kappa_min,0.42,0,35dee8583abd7b4c77abccd5b10217717fce13cee9db9810eebb2d3c4e5a0512,-47.06769073555168,0.12000561003999988,3044.016535059327,-0.12000561003999988,313.0,0.0
