param,value,is_base,config_hash,sharpe,max_drawdown,turnover,total_return,n_trades,psr
base,,1,48e2a5d88b321d31c7b415370de5ed6505a2af4175883ddb245fbdcf9dfaa1c6,-106.49080484878674,0.38960448882956333,15046.444391518577,-0.38960448882956333,1338.0,0.0
u_enter,0.2,0,852c7162e0c2a9dfb99f1233bf3e4a1a7944d23bfecb0414c3c4d0a2f867ca48,-126.07062022577723,0.4245608617329544,16385.10150295101,-0.4245608617329544,1901.0,0.0
u_enter,0.225,0,965b8701f4094eb70a15f011e43c990631d7fad73adb2ec79ae7956e6302c30d,-115.23413414294558,0.4098687115383407,16137.653418675862,-0.4098687115383407,1624.0,0.0
u_enter,0.275,0,e2ccc81ceefd8632cd7de4581195340e5f91c7ec289a1c17fee6c43868311e43,-96.19073710606332,0.34778197627816243,13108.04482739616,-0.34778197627816243,1053.0,0.0
u_enter,0.3,0,e063275466558f7756c2905107e3e2052c5afe0b74ef13cd4ddf38a700aff568,-78.12906916107711,0.26143396024271304,9371.468942519034,-0.26143396024271304,696.0,0.0
u_exit,0.09,0,14218e93640689f8ac71b6aab40e56b32b676bbfa3d5f152a9b0b7400e1b92ee,-101.25746649905817,0.38407126798929114,14831.917581801566,-0.38407126798929114,1314.0,0.0
u_exit,0.105,0,928b48330f16dfe1d2560d390d14189cafc13f8dc475fd7b6d5f76069578ab76,-103.89307664349872,0.3830262726473054,14607.610864277536,-0.3830262726473054,1320.0,0.0
u_exit,0.135,0,2ebf4bf03892867f8299e3f7bd8912c9493157e75d85dddb26d1c09c488b85e0,-107.67362761936714,0.3875649988048383,15097.524936310836,-0.3875649988048383,1361.0,0.0
u_exit,0.15,0,ccc40859a872ed436268c4c434015fadd33591f5968cf04d4c5e253b2f306df7,-110.23094945163731,0.3907651092869291,15206.769390527079,-0.3907651092869291,1381.0,0.0
chi,1.5,0,9b422134be3f388ff4274629ccd7ad5d42f177c4cbb6cdd908240f9265dc1eae,-110.00808045555743,0.3921470332725365,15460.992121395044,-0.3921342894522081,1407.0,0.0
chi,1.75,0,8f821d5345a8d7310efc59d843c182b2295efbc9fcf61b50acfa4dd3e0573754,-108.42272771535049,0.3933470013479393,15333.581518522074,-0.3933470013479393,1370.0,0.0
chi,2.25,0,51f615d7d1c035f29aa392277ed8d1a42b6bab5d1df0bc12cc74d993f8f7b531,-104.99968073750104,0.38940054254949463,15026.673348608694,-0.38940054254949463,1330.0,0.0
chi,2.5,0,32f98f51f2a03ee778b59644a00f37152dd0fd851e479d74f41e790bbbc87cb9,-103.97840088854181,0.3868322254470694,14970.551597456546,-0.3868322254470694,1324.0,0.0
rho_base,0.0025,0,1f469a7176b02b1a50249f162c7f2780ac9eb1a97ac4d8a2236ec98513a851f2,-106.10341674322177,0.38136737923604,14637.351318341849,-0.38136737923604,1344.0,0.0
rho_base,0.00375,0,3c090cdf53b2c81e1f1fa1f25a5e912450de2e391aa121f59b0a8a8eab02caa8,-106.48509281041855,0.3895595980074439,15045.216524239999,-0.3895595980074439,1338.0,0.0
