fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,0,7,1.5,0.2,0.0025,0.94,-93.7044881885457,0.12001171444220382,8441.293952565007,-0.12001171444220382,325.0,0.0,1.0,0,0,0,8d2c8f52ec650726b53e5393cc4e02724a5221a5371ae46fe56c5d1bda01391a
0,1,7,1.5,0.2,0.0025,0.97,-93.20512014491102,0.12029609516958517,8489.769409879089,-0.12029609516958517,331.0,0.0,1.0,0,0,0,5883bed4cff82818ba61558b1eed00ca6bb8140c1a360bcc875ae35b994b6fac
0,2,7,1.5,0.2,0.005,0.94,-91.92487694860296,0.12000913562620374,8414.402233743245,-0.12000913562620374,317.0,0.0,1.0,0,0,0,5e2ba6c4637fe2145017fd5f8be9818c8f87943b0d0d69aed9c13973aa7535e3
0,3,7,1.5,0.2,0.005,0.97,-90.30160425558338,0.12017189625103986,8539.55918198268,-0.12017189625103986,321.0,0.0,1.0,0,0,0,6ad89116f9bf57d8631240630bc4dcbed3fad5842b55b2dd204c0a212e9046e4
0,4,7,1.5,0.25,0.0025,0.94,-87.81613762055426,0.11282547968981727,7903.606303036185,-0.11281772968981718,260.0,0.0,0.0,0,0,0,7aa82fecc5f2ef4a3f56099c18542d1b24c4aec21d3b62e84af25e520eb99fb6
0,5,7,1.5,0.25,0.0025,0.97,-87.3457092424215,0.11197965393817977,7832.538184407871,-0.11197140393817973,260.0,0.0,0.0,0,0,0,c8e39967b2b68d0cbdbf4db8f4c6f0d7afcb1bbfeeb895166fa142d5f3e450f6
0,6,7,1.5,0.25,0.005,0.94,-87.93655571039002,0.11315281690581724,7922.546582916887,-0.11314506690581716,260.0,0.0,0.0,0,0,0,76b69e568aadcbbbdc3a9a698b5c008d61873066875f1cc7549597e6fd75ceec
0,7,7,1.5,0.25,0.005,0.97,-87.31956976140246,0.11259863609817988,7876.708287688047,-0.11259038609817984,260.0,0.0,0.0,0,0,0,7893e64f531525c68f7280d519fa68bf634f04fd030093bb3dbd0e9074344656
0,8,7,1.5,0.3,0.0025,0.94,-54.72341473913961,0.053260049048112657,3775.6724640090306,-0.05297100907599994,96.0,0.0,0.0,0,0,0,f5e9612f52f292a819a9d338c614f2075ebd992c6bdb062dddd585b918d09512
0,9,7,1.5,0.3,0.0025,0.97,-55.04520927511032,0.05325883680973753,3801.4500315334462,-0.05293919219599996,96.0,0.0,0.0,0,0,0,605fb1c8a2b7d7abde90e85fa33fb2fd70e975aa349b65af4e391bcad6da96e6
0,10,7,1.5,0.3,0.005,0.94,-54.72341473913961,0.053260049048112657,3775.6724640090306,-0.05297100907599994,96.0,0.0,0.0,0,0,0,5147ee46dd612e509eb265c1ce1753d1afd208dbb9c841a0776e471d4ab3dd25
0,11,7,1.5,0.3,0.005,0.97,-55.063602711359465,0.05329473404189189,3803.5894571948793,-0.052975101548,96.0,0.0,0.0,0,0,0,5e982fdaed64e69f91ed96898db25d2165d3dcf1e130def75c6f86312770316f
0,12,7,2.0,0.2,0.0025,0.94,-98.72526197637201,0.12011086039020369,8618.024964940489,-0.12011086039020369,367.0,0.0,1.0,0,0,0,40ed4d03cc899bf3336ddcf012e7310ea2d1dda1b4488675869bd4d2688ceeb8
0,13,7,2.0,0.2,0.0025,0.97,-97.88665597368285,0.1201255745935852,8556.938144945168,-0.1201255745935852,377.0,0.0,1.0,0,0,0,cb4fff068c7b6fad119df003d5ee3191cb1ab4cce61222e008af9d7d322a84d7
0,14,7,2.0,0.2,0.005,0.94,-93.60839343377062,0.12002724815820387,8532.170637499506,-0.12002724815820387,322.0,0.0,1.0,0,0,0,9722e92fa31b3b12d8f3e47a15264c97724858ef1720cacd93df049ab38b3511
0,15,7,2.0,0.2,0.005,0.97,-92.22008237715622,0.12000871933358526,8513.481595789583,-0.12000871933358526,323.0,0.0,1.0,0,0,0,6f8fcbc675bdfc3814ffe47fc3b535c1578c9ccadcd4ad588e1da2a67493959f
0,16,7,2.0,0.25,0.0025,0.94,-88.51078831428053,0.11010335777017977,7737.051255723498,-0.11009560777017979,253.0,0.0,0.0,0,0,0,985c6565b185e2b9f0ec24d44b1253186202afc8e71d2c66cb6562a0a3d9970e
0,17,7,2.0,0.25,0.0025,0.97,-87.87984263194318,0.10973401899017976,7721.115344053213,-0.10972601899017975,253.0,0.0,0.0,0,0,0,d275541230ea9ab0fdb79e84ce202ffd35e544b6328e4691f23188a483563218
0,18,7,2.0,0.25,0.005,0.94,-88.56517545874344,0.11119084830617976,7834.287715266713,-0.11118309830617978,253.0,0.0,0.0,0,0,0,d41c27c54f897e4df19ee78b6d3ab542bef74e575e8b8e6593f909ae40ee8dc4
0,19,7,2.0,0.25,0.005,0.97,-87.36454933503559,0.11140163707817974,7869.825515328343,-0.11139338707817992,253.0,0.0,0.0,0,0,0,ff7a204aef6aaf08a6d1b90c45887c719f73454108c210d57a81258f6b8a9458
0,20,7,2.0,0.3,0.0025,0.94,-54.53504723303617,0.053081695571479126,3714.227715625497,-0.052792601147999996,95.0,0.0,0.0,0,0,0,a072d39667559b8fefca1a7ea427c6b3ef340700334678d546836d6e88ce29fc
0,21,7,2.0,0.3,0.0025,0.97,-54.5165020358319,0.05233572565224265,3677.5585470001156,-0.05201576937200003,95.0,0.0,0.0,0,0,0,a10018f68a5269ee1c548feeb66ec840a2146634b3ba236e27cf1de07446ffa6
