fold,cell,n_atr,chi,u_enter,rho_base,lam,sharpe,max_drawdown,turnover,total_return,n_trades,psr,halted,on_front,feasible,selected,config_hash
0,0,7,1.5,0.2,0.0025,0.94,-85.2832155775962,0.12012569271518103,8940.401888507975,-0.11964013315272626,376.0,0.0,1.0,0,0,0,72b3d34e95fce65a57448957cb3572eb35cee8e1eb7385b34dcb958ad4252bec
0,1,7,1.5,0.2,0.0025,0.97,-88.84189661758039,0.1200118574538882,9012.521789916209,-0.11957720236782665,419.0,0.0,1.0,0,0,0,eb454935e1b506eef16ad440093d2421e01f24d73c427302f9337c927c28aff5
0,2,7,1.5,0.2,0.005,0.94,-84.84661881959482,0.12011169980946179,8989.39319089606,-0.1196261325250072,374.0,0.0,1.0,0,0,0,1def34ff26054ac4752187da0e46cdc2afdf57396ed1eff3c2e892a60c74ccd1
0,3,7,1.5,0.2,0.005,0.97,-89.13772007878286,0.12015267147185149,9006.945284938043,-0.11971808593846467,416.0,0.0,1.0,0,0,0,458b014130294e5623212ead139d8d80c6a66cfef9f3e61a650941b2dcc47795
0,4,7,1.5,0.25,0.0025,0.94,-85.70440793300781,0.12006216045977014,8659.48973378088,-0.1195765658369734,356.0,0.0,1.0,0,0,0,f288422dc55c3d715227d7f0117b7966e2b96c28ff4790ff95ed641fec691644
0,5,7,1.5,0.25,0.0025,0.97,-90.77094034763422,0.12010624652080881,8640.741785558756,-0.11967163805661185,416.0,0.0,1.0,0,0,0,f71da9a9d7fa163154074cee3f056eac3544b61f868a7c68e46a8e05a8c7ca6c
0,6,7,1.5,0.25,0.005,0.94,-85.69742673834577,0.12008051645399553,8664.143758058215,-0.11959493196097337,356.0,0.0,1.0,0,0,0,9ec2bef369ff8f0c64ae2237b5206afc76df7ce5b199d25ead7236d5101c316d
0,7,7,1.5,0.25,0.005,0.97,-90.77536115101815,0.12011601197932775,8641.959615901475,-0.11968140833861196,416.0,0.0,1.0,0,0,0,b0c8362d68075c5ddcd890975bae458352d7c0f9f6d5fca222e054af0e3e09aa
0,8,7,1.5,0.3,0.0025,0.94,-86.05179051900316,0.1182297638386045,8197.387632401858,-0.11812328384635618,341.0,0.0,0.0,0,0,0,012001dfe07538487f22ce44f37af6eb3748a0ce9d15119d46fea983014d556b
0,9,7,1.5,0.3,0.0025,0.97,-86.28310858198502,0.11143690398568384,7696.099985696377,-0.1113350779063107,341.0,0.0,0.0,0,0,0,16fc272bdf5bc0bbc3f17ec831f90edfa28932d8e3ecfeeda402d2e211e69ea9
0,10,7,1.5,0.3,0.005,0.94,-86.05179051900316,0.1182297638386045,8197.387632401858,-0.11812328384635618,341.0,0.0,0.0,0,0,0,43c163fbfeae85671ca7e919c1676513e95817ffeb7102bf696edab7c6c3813e
0,11,7,1.5,0.3,0.005,0.97,-86.28310858198502,0.11143690398568384,7696.099985696377,-0.1113350779063107,341.0,0.0,0.0,0,0,0,1aa317c46f2319b3cd32423681a548c6c344bdf3aea95fa4eb51d8deb1ee422d
0,12,7,2.0,0.2,0.0025,0.94,-85.6270438785032,0.12000792293667228,8933.055722114763,-0.11952229838284134,396.0,0.0,1.0,0,0,0,bbc8913e2cfe81d85e60d2fe3b4999948fc47ae2fd4c94e784b90a917d80bd51
0,13,7,2.0,0.2,0.0025,0.97,-89.7481627765546,0.12031372467331658,8900.569171212317,-0.11987921868940299,426.0,0.0,1.0,0,0,0,b5d09ad172cd964dae5d225e6889d99b33b282ba601cb37b24631527d13bfa9d
0,14,7,2.0,0.2,0.005,0.94,-84.11956101371703,0.12020763031143233,8753.350989080047,-0.1197221159663262,366.0,0.0,1.0,0,0,0,5d08266a402129d84465208be50d9d64111974cf921c91a091b11b49ce753e43
0,15,7,2.0,0.2,0.005,0.97,-88.97429147234783,0.12012497476524675,8911.344107983656,-0.11969037555154571,411.0,0.0,1.0,0,0,0,c3d702f008a9789cd385289f5c451df0d20dfebc5b3bc1086a5173faab537024
0,16,7,2.0,0.25,0.0025,0.94,-86.76790291071364,0.12007742155241607,8585.364620511957,-0.11959183535146933,380.0,0.0,1.0,0,0,0,29e2446581db74ab5969d2241ddd4f21823fa8449f19edfb089241acdd38a96f
0,17,7,2.0,0.25,0.0025,0.97,-91.9997644796792,0.12001700414043659,8617.210462580486,-0.11958235159649289,445.0,0.0,1.0,0,0,0,1521cd2cea29509dfb1864271ce7ee89800b26462b102326dc8f783f31a221d4
0,18,7,2.0,0.25,0.005,0.94,-85.74257473156621,0.12013054829449532,8590.806000045302,-0.11964499141159701,372.0,0.0,1.0,0,0,0,e48b2d50f22fa8ae6242d2335a59554c7f050ea8ecc3bd9849ba3cf391e339f4
0,19,7,2.0,0.25,0.005,0.97,-91.30329135459289,0.12025486030693833,8588.004666212897,-0.11982032524797814,434.0,0.0,1.0,0,0,0,7cd0938bf6ffeef578613e3d0f263543cd9e71a640227a0b4f5e987db1771816
